rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
6789,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Parabacteroides_goldsteinii; Eubacterium_siraeum,4,propionate+mucin,2,3,0.171,0.266,0.875,0.5929
6790,西欧,Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_putredinis; Eubacterium_eligens,5,propionate+mucin,2,1,0.222,0.238,0.9,0.5929
6791,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,3,0.147,0.217,0.88,0.5929
6792,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.206,0.237,0.87,0.5929
6793,西欧,Bifidobacterium_longum; Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Turicibacter_sanguinis,5,propionate+mucin,2,1,0.231,0.198,0.83,0.5929
6794,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,2,0.164,0.187,0.87,0.5929
6795,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.158,0.246,0.95,0.5929
6796,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Eubacterium_eligens; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.243,0.228,0.85,0.5929
6797,西欧,Bacteroides_dorei; Intestinimonas_butyriciproducens; Eubacterium_siraeum,3,propionate+butyrate+mucin,3,1,0.197,0.264,0.85,0.5929
6798,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii,5,propionate+mucin,2,3,0.183,0.207,0.91,0.5929
6799,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_indistinctus; Ruminococcus_lactaris,5,propionate+mucin,2,3,0.212,0.214,0.83,0.5929
6800,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Ruminococcus_lactaris; Victivallis_vadensis,4,propionate+mucin,2,1,0.268,0.187,0.725,0.5929
6801,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.237,0.19,0.81,0.5929
6802,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.175,0.242,0.9,0.5928
6803,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Victivallis_vadensis,4,propionate+mucin,2,1,0.251,0.171,0.8,0.5928
6804,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.215,0.183,0.83,0.5928
6805,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,1,0.171,0.266,0.83,0.5928
6806,西欧,Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.175,0.262,0.82,0.5928
6807,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Bacteroides_salyersiae; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.194,0.262,0.94,0.5928
6808,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.232,0.258,0.84,0.5928
6809,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Butyrivibrio_crossotus; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.158,0.273,0.91,0.5928
6810,西欧,Bacteroides_salyersiae; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.195,0.249,0.81,0.5928
6811,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,1,0.204,0.245,0.76,0.5928
6812,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.237,0.219,0.8,0.5928
6813,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.183,0.237,0.86,0.5928
6814,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Butyrivibrio_crossotus,3,propionate+butyrate+mucin,3,3,0.135,0.246,0.85,0.5928
6815,西欧,Alistipes_indistinctus; Ruminococcus_lactaris; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.201,0.256,0.817,0.5928
6816,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Odoribacter_splanchnicus; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.19,0.223,0.87,0.5928
6817,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_indistinctus; Turicibacter_sanguinis,4,propionate+mucin,2,3,0.212,0.202,0.8,0.5927
6818,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Eubacterium_eligens; Victivallis_vadensis,4,propionate+mucin,2,2,0.224,0.25,0.812,0.5927
6819,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.173,0.262,0.83,0.5927
6820,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Parabacteroides_goldsteinii,4,propionate+mucin,2,1,0.178,0.213,0.9,0.5927
6821,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.159,0.232,0.82,0.5927
6822,西欧,Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Victivallis_vadensis; Akkermansia_muciniphila,4,propionate+mucin,2,3,0.205,0.177,0.838,0.5927
6823,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.2,0.238,0.91,0.5927
6824,西欧,Bacteroides_cellulosilyticus; Eubacterium_eligens; Butyrivibrio_crossotus; Eubacterium_siraeum,4,propionate+butyrate+mucin,3,2,0.198,0.344,0.862,0.5927
6825,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Victivallis_vadensis,3,propionate+mucin,2,2,0.233,0.155,0.8,0.5927
6826,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.194,0.21,0.83,0.5927
6827,西欧,Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.153,0.237,0.85,0.5926
6828,西欧,Alistipes_putredinis; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,3,propionate+butyrate+mucin,3,0,0.23,0.227,0.733,0.5926
6829,西欧,Bifidobacterium_longum; Intestinimonas_butyriciproducens; Eubacterium_eligens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.202,0.248,0.887,0.5926
6830,西欧,Bifidobacterium_longum; Bacteroides_dorei; Odoribacter_splanchnicus; Eubacterium_siraeum,4,propionate+mucin,2,1,0.223,0.234,0.888,0.5926
6831,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_intestinalis; Barnesiella_intestinihominis; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.21,0.252,0.86,0.5926
6832,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,1,0.279,0.206,0.75,0.5926
6833,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.158,0.248,0.83,0.5926
6834,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.178,0.198,0.81,0.5926
6835,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_putredinis; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.173,0.243,0.83,0.5926
6836,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,2,0.214,0.276,0.87,0.5926
6837,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Eubacterium_eligens; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.254,0.303,0.82,0.5926
6838,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,1,0.19,0.232,0.82,0.5926
6839,西欧,Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_indistinctus; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.178,0.231,0.93,0.5926
6840,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Fretibacterium_fastidiosum,3,propionate+mucin,2,0,0.246,0.143,0.75,0.5926
6841,西欧,Barnesiella_intestinihominis; Butyrivibrio_crossotus; Turicibacter_sanguinis; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.194,0.233,0.78,0.5926
6842,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,2,0.155,0.282,0.825,0.5926
6843,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_indistinctus; Victivallis_vadensis,4,propionate+mucin,2,2,0.197,0.242,0.838,0.5925
6844,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Eubacterium_eligens,5,propionate+mucin,2,2,0.207,0.208,0.89,0.5925
6845,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,3,0.194,0.251,0.81,0.5925
6846,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Alistipes_putredinis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,3,0.14,0.229,0.88,0.5925
6847,西欧,Bacteroides_dorei; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.189,0.253,0.84,0.5925
6848,西欧,Bacteroides_dorei; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0,0.201,0.214,0.8,0.5925
6849,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,2,0.157,0.199,0.87,0.5925
6850,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Odoribacter_splanchnicus; Eubacterium_eligens,5,propionate+mucin,2,1,0.219,0.242,0.9,0.5925
6851,西欧,Bacteroides_dorei; Alistipes_indistinctus; Alistipes_putredinis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.195,0.22,0.84,0.5925
6852,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+mucin,2,1,0.24,0.29,0.88,0.5925
6853,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Butyrivibrio_crossotus,3,propionate+butyrate+mucin,3,1,0.18,0.256,0.85,0.5925
6854,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_indistinctus,4,propionate+mucin,2,2,0.197,0.182,0.875,0.5925
6855,西欧,Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.169,0.269,0.83,0.5924
6856,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.198,0.203,0.79,0.5924
6857,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_indistinctus; Eubacterium_eligens; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.236,0.216,0.81,0.5924
6858,西欧,Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii; Eubacterium_eligens; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.203,0.295,0.91,0.5924
6859,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,4,propionate+butyrate+mucin,3,1,0.153,0.261,0.8,0.5924
6860,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+mucin,2,2,0.228,0.256,0.87,0.5924
6861,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_salyersiae; Odoribacter_splanchnicus,5,propionate+mucin,2,1,0.197,0.236,0.92,0.5924
6862,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0,0.207,0.206,0.833,0.5924
6863,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.213,0.216,0.8,0.5924
6864,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Butyrivibrio_crossotus; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,5,0.151,0.243,0.84,0.5924
6865,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.163,0.304,0.9,0.5924
6866,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.219,0.183,0.8,0.5924
6867,西欧,Bacteroides_salyersiae; Alistipes_putredinis; Ruminococcus_lactaris; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.222,0.219,0.81,0.5924
6868,西欧,Bacteroides_salyersiae; Butyrivibrio_crossotus; Victivallis_vadensis; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,4,0.158,0.238,0.85,0.5924
6869,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Alistipes_indistinctus; Eubacterium_siraeum,4,propionate+mucin,2,2,0.223,0.243,0.85,0.5924
6870,西欧,Alistipes_putredinis; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.209,0.231,0.77,0.5923
6871,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.195,0.23,0.79,0.5923
6872,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Eubacterium_siraeum,3,propionate+mucin,2,3,0.196,0.251,0.867,0.5923
6873,西欧,Bacteroides_intestinalis; Butyrivibrio_crossotus; Ruminococcus_lactaris; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,3,0.151,0.283,0.85,0.5923
6874,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Alistipes_putredinis; Ruminococcus_lactaris,4,propionate+mucin,2,0,0.248,0.206,0.8,0.5923
6875,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0,0.204,0.224,0.83,0.5923
6876,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_intestinalis; Eubacterium_siraeum,4,propionate+mucin,2,2,0.197,0.301,0.925,0.5923
6877,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Alistipes_putredinis; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+mucin,2,3,0.248,0.262,0.85,0.5923
6878,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_indistinctus; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.214,0.209,0.83,0.5923
6879,西欧,Alistipes_indistinctus; Parabacteroides_goldsteinii; Eubacterium_siraeum; Akkermansia_muciniphila,4,propionate+mucin,2,4,0.177,0.249,0.888,0.5923
6880,西欧,Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,3,propionate+butyrate+mucin,3,2,0.146,0.214,0.883,0.5923
6881,西欧,Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Ruminococcus_lactaris,4,propionate+butyrate+mucin,3,0,0.247,0.22,0.762,0.5923
6882,西欧,Bifidobacterium_animalis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.176,0.253,0.84,0.5923
6883,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.208,0.206,0.87,0.5923
6884,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.176,0.227,0.86,0.5923
6885,西欧,Bacteroides_dorei; Alistipes_indistinctus; Eubacterium_eligens; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.18,0.277,0.81,0.5923
6886,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Alistipes_putredinis; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.178,0.21,0.82,0.5923
6887,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Odoribacter_splanchnicus; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,3,0.229,0.236,0.84,0.5922
6888,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.178,0.249,0.84,0.5922
6889,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.195,0.218,0.83,0.5922
6890,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Ruminococcus_lactaris,5,propionate+mucin,2,0,0.263,0.222,0.81,0.5922
6891,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,3,0.15,0.272,0.89,0.5922
6892,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Barnesiella_intestinihominis; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.203,0.242,0.87,0.5922
6893,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.192,0.19,0.82,0.5922
6894,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Odoribacter_splanchnicus; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+mucin,2,1,0.233,0.253,0.84,0.5922
6895,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.167,0.229,0.86,0.5922
6896,西欧,Eubacterium_eligens; Butyrivibrio_crossotus; Eubacterium_siraeum; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,3,0.204,0.327,0.875,0.5921
6897,西欧,Bacteroides_dorei; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.157,0.207,0.83,0.5921
6898,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.181,0.171,0.79,0.5921
6899,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.184,0.196,0.912,0.5921
6900,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Eubacterium_eligens,4,propionate+mucin,2,1,0.204,0.27,0.888,0.5921
6901,西欧,Alistipes_putredinis; Eubacterium_eligens; Eubacterium_siraeum; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.259,0.29,0.83,0.5921
6902,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.182,0.249,0.81,0.5921
